latitude start,latitude end,longitude start,longitude end,time,source,min,max,hash
10.0625,15.0625,-54.9375,-49.9375,2020-12-01,des,4.53,7.44,d577092cd4127a272588c29b432dd658
10.0625,15.0625,-54.9375,-49.9375,2020-12-08,des,5.4,8.59,09471867866f7adde75def0225d40722
10.0625,15.0625,-54.9375,-49.9375,2020-12-20,des,6.47,10.58,b669566a9174dc3a020f8749f84acec2
10.0625,15.0625,-54.9375,-49.9375,2020-12-23,des,8.81,11.21,17869cc2c4e7b290554b0a907bae4054
10.0625,15.0625,-54.9375,-49.9375,2020-12-30,des,1.51,8.14,5d063db93e58144ff015cdf98d37039e
10.0625,15.0625,-49.9375,-44.9375,2020-01-03,des,3.35,7.75,fcb14abc445fad80143a98c2b37d58db
10.0625,15.0625,-49.9375,-44.9375,2020-01-06,des,3.15,7.7,9bea09df310518a8596f783070905017
10.0625,15.0625,-49.9375,-44.9375,2020-01-18,des,6.79,9.09,a0f3c0c416b10db4e9dd4754dd3ec9a3
10.0625,15.0625,-49.9375,-44.9375,2020-01-25,des,4.86,9.78,dbe3ee949d945f0671fb627c528bb3a4
10.0625,15.0625,-49.9375,-44.9375,2020-01-27,des,3.8000000000000003,7.640000000000001,12307e0b61ce2cf31b7bc333710137a3
10.0625,15.0625,-49.9375,-44.9375,2020-02-01,des,4.61,9.11,108a9eefd5b4bc058467f6f9a1f24193
10.0625,15.0625,-49.9375,-44.9375,2020-02-04,des,6.04,10.03,735dc066729c749df0e945876566d5fe
10.0625,15.0625,-49.9375,-44.9375,2020-02-16,des,8.44,10.93,6e6a46de5b24a28a3ced984ecf3f66b1
10.0625,15.0625,-49.9375,-44.9375,2020-02-23,des,7.26,10.22,f359054c82426e0572925db28ae8bc01
10.0625,15.0625,-49.9375,-44.9375,2020-02-25,des,4.5,9.07,ff3e3a25edfcfc31d5ce27e273068786
10.0625,15.0625,-49.9375,-44.9375,2020-03-01,des,6.95,9.8,e6274d3cbd5c042c2c221aa693c7dda4
10.0625,15.0625,-49.9375,-44.9375,2020-03-04,des,7.7700000000000005,10.3,4d84f89bc57951544229d87a51089d0a
10.0625,15.0625,-49.9375,-44.9375,2020-03-16,des,3.59,8.08,b1de5f45fd77997ec91f60629e00403a
10.0625,15.0625,-49.9375,-44.9375,2020-03-23,des,6.08,9.55,58d3efb472d3935b9697a4098f737628
10.0625,15.0625,-49.9375,-44.9375,2020-03-25,des,7.54,10.8,9677f18426689c46b328bb111d3ec462
10.0625,15.0625,-49.9375,-44.9375,2020-03-30,des,1.0,9.03,eaf5fb67cdb3c5573d414b7da47e7300
10.0625,15.0625,-49.9375,-44.9375,2020-04-02,des,4.03,7.6000000000000005,0f9f759e28b6463359ebcdd3db42b055
10.0625,15.0625,-49.9375,-44.9375,2020-04-14,des,6.65,9.11,0902119220e9b92f90aed795fc731844
10.0625,15.0625,-49.9375,-44.9375,2020-04-21,des,6.33,10.15,99b51dbe896e30aeb8df4da4b520a9df
10.0625,15.0625,-49.9375,-44.9375,2020-04-23,des,7.95,11.23,cb60365fe7193c91ff9229684f1226ee
10.0625,15.0625,-49.9375,-44.9375,2020-04-28,des,6.390000000000001,10.870000000000001,31c4f1c81bd5faebdceabf0e51d7b081
10.0625,15.0625,-49.9375,-44.9375,2020-05-01,des,7.23,10.82,0d4341d5a7dd86c4ae8f46a5171018a0
10.0625,15.0625,-49.9375,-44.9375,2020-05-13,des,6.58,9.9,af2daeb4066f89fd982b7d19b14d9285
10.0625,15.0625,-49.9375,-44.9375,2020-05-20,des,7.94,10.86,c499a1752fa06c81a6ec339bc9b0cdde
10.0625,15.0625,-49.9375,-44.9375,2020-05-22,des,5.28,9.17,ab03db1ed89fb0752bce7803923c399e
10.0625,15.0625,-49.9375,-44.9375,2020-05-27,des,6.28,10.11,6a61f2102dafee376a461bbbc22fd349
10.0625,15.0625,-49.9375,-44.9375,2020-05-30,des,6.0200000000000005,9.39,27693b13ae6913a4d90f27a587fbfc89
10.0625,15.0625,-49.9375,-44.9375,2020-06-11,des,5.95,9.3,63c24bfe04824e12cbb4f477c6c525d7
10.0625,15.0625,-49.9375,-44.9375,2020-06-18,des,5.61,8.98,0924e744cdbc83a7327da0ba9347d031
10.0625,15.0625,-49.9375,-44.9375,2020-06-20,des,6.71,10.49,26683ff84578f89eafc3cf92a895e470
10.0625,15.0625,-49.9375,-44.9375,2020-06-25,des,7.12,11.13,7e53ac065fb0d8d1ca7141048c93853a
10.0625,15.0625,-49.9375,-44.9375,2020-06-28,des,6.59,10.5,b2841032c9f3163fdf454886bcd95bfe
10.0625,15.0625,-49.9375,-44.9375,2020-07-10,des,2.63,9.92,ff901e44e8cba26a2c0a116577c7804c
10.0625,15.0625,-49.9375,-44.9375,2020-07-17,des,3.97,7.07,ae2b73f1333fcf987e2a5f8186e4bd3b
10.0625,15.0625,-49.9375,-44.9375,2020-07-19,des,2.86,9.040000000000001,09332aea40e0985abe680b917e7a40c4
10.0625,15.0625,-49.9375,-44.9375,2020-07-24,des,2.2,11.18,3d5ad88f8b6cae25cf2620b56fcd0164
10.0625,15.0625,-49.9375,-44.9375,2020-07-27,des,1.76,10.49,abcb46326cd847cbcd2e581991a35741
10.0625,15.0625,-49.9375,-44.9375,2020-08-08,des,0.85,8.24,e035ca3912b22835efbb717d706ec72a
10.0625,15.0625,-49.9375,-44.9375,2020-08-15,des,4.07,9.85,9e229b6462323b9e65c4f9c663f9a013
10.0625,15.0625,-49.9375,-44.9375,2020-08-17,des,2.38,13.06,f2050eb1badea645b6cdce747ea1ca9a
10.0625,15.0625,-49.9375,-44.9375,2020-08-22,des,3.61,9.39,e00365aed6f4b10238d53e71d82b1edc
10.0625,15.0625,-49.9375,-44.9375,2020-08-25,des,3.43,8.26,836891d7481836eb7b3ab1f514024bea
10.0625,15.0625,-49.9375,-44.9375,2020-09-06,des,0.3,8.61,70b36bd5702dba713c8a89e3865fcb1e
