latitude start,latitude end,longitude start,longitude end,time,source,hash
10.0625,15.0625,-49.9375,-44.9375,2020-02-23,asc,b896060e86dbe0f9bf9b3c6dac89eec6
10.0625,15.0625,-49.9375,-44.9375,2020-02-25,asc,bf6600863a770b4db56d9caa08fa2960
10.0625,15.0625,-49.9375,-44.9375,2020-03-01,asc,c335c4530ce36c573b0df123db53e2a3
10.0625,15.0625,-49.9375,-44.9375,2020-03-04,asc,fee67cca6c2a1d443b528261d05e0d21
10.0625,15.0625,-49.9375,-44.9375,2020-03-16,asc,c5f75bd6970c6fcc827f9f2bca394e64
10.0625,15.0625,-49.9375,-44.9375,2020-03-23,asc,59f39d28d24b25c133a0b7ea08afe1a0
10.0625,15.0625,-49.9375,-44.9375,2020-03-25,asc,08915467ac726576573452a036796f14
10.0625,15.0625,-49.9375,-44.9375,2020-03-30,asc,af25271291d9fa53c625235084564815
10.0625,15.0625,-49.9375,-44.9375,2020-04-02,asc,bc9a0595a64873e56b091a71aa369d7d
10.0625,15.0625,-49.9375,-44.9375,2020-04-14,asc,9611f0cfd169dcac6d8a4c1d415a7e31
10.0625,15.0625,-49.9375,-44.9375,2020-04-21,asc,3cc8792fd64abd870f972fbcee994cfb
10.0625,15.0625,-49.9375,-44.9375,2020-04-23,asc,a0e7a0c464fbb31e3dd6a56f8a104962
10.0625,15.0625,-49.9375,-44.9375,2020-04-28,asc,facb6792f8203d13fc8b35858fa74c0f
10.0625,15.0625,-49.9375,-44.9375,2020-05-01,asc,c638c80034b6910d942a29e48524f388
10.0625,15.0625,-49.9375,-44.9375,2020-05-13,asc,d9e399d09a8e9b417cb6b1d2053095c4
10.0625,15.0625,-49.9375,-44.9375,2020-05-20,asc,1fd0dde7579416e3c6943a02ab400bad
10.0625,15.0625,-49.9375,-44.9375,2020-05-22,asc,5ebd0ca11735a23aa765ab825d7a15c7
10.0625,15.0625,-49.9375,-44.9375,2020-05-27,asc,be6b80b1ce4392097713146abd01eedc
10.0625,15.0625,-49.9375,-44.9375,2020-05-30,asc,4a36ba352c2a1f855b05ea89cca78e19
10.0625,15.0625,-49.9375,-44.9375,2020-06-11,asc,9b90f78af1f39cc902d889afcda82842
10.0625,15.0625,-49.9375,-44.9375,2020-06-18,asc,c452e20c8bd9a9b4db36dba753afb555
10.0625,15.0625,-49.9375,-44.9375,2020-06-20,asc,df75485d0efebbeeafb3454afa6bbb79
10.0625,15.0625,-49.9375,-44.9375,2020-06-25,asc,1db15efc8e78ca551e60b1baaf9744de
10.0625,15.0625,-49.9375,-44.9375,2020-06-28,asc,2f929af1ce2811c647063e65ec8b57f8
10.0625,15.0625,-49.9375,-44.9375,2020-07-10,asc,c19e4f3dcdfff1636165c13b3590418a
10.0625,15.0625,-49.9375,-44.9375,2020-07-17,asc,42d5e46518e11f3be6749a9eb1c3db15
10.0625,15.0625,-49.9375,-44.9375,2020-07-19,asc,7d5a24d2a14dd089de4a3104d12ea0f1
10.0625,15.0625,-49.9375,-44.9375,2020-07-24,asc,b552dc6eb379e4641933fcee7ff2fd1e
10.0625,15.0625,-49.9375,-44.9375,2020-07-27,asc,64d0070ed897823c461088b3ba556886
10.0625,15.0625,-49.9375,-44.9375,2020-08-08,asc,cf8878b785874e450d3107929ba93d76
10.0625,15.0625,-49.9375,-44.9375,2020-08-15,asc,c6d1976e1c8ed7236ad3fa7d6b1d8f57
10.0625,15.0625,-49.9375,-44.9375,2020-08-17,asc,5bfec376c3a19a648d1553a81f168f07
10.0625,15.0625,-49.9375,-44.9375,2020-08-22,asc,f3bb3091b6b14fcf37a050bcbaadec39
10.0625,15.0625,-49.9375,-44.9375,2020-08-25,asc,66378e11dcc7b661fcd13187ccd9b0ce
10.0625,15.0625,-49.9375,-44.9375,2020-09-06,asc,c40aaa2466889a215c2cf93b89dea309
10.0625,15.0625,-49.9375,-44.9375,2020-09-13,asc,949ae4b0dcad419c736b4f908efd0fdb
10.0625,15.0625,-49.9375,-44.9375,2020-09-15,asc,c2aa5fb57f5f895fe2a037074a75d177
10.0625,15.0625,-49.9375,-44.9375,2020-09-20,asc,4955a13284c94ae192a59781b4876aa0
10.0625,15.0625,-49.9375,-44.9375,2020-09-23,asc,10b6c6f162c7a284173f4ca3b831b999
10.0625,15.0625,-49.9375,-44.9375,2020-10-05,asc,55ab4ba03f05cdd0a2bdff8b6a3ff191
10.0625,15.0625,-49.9375,-44.9375,2020-10-12,asc,eb1bfcbf42c2a73a035e8bb2aebc4e43
10.0625,15.0625,-49.9375,-44.9375,2020-10-14,asc,ccb8da1fbb292f1802e3e5b7625f1f59
10.0625,15.0625,-49.9375,-44.9375,2020-10-19,asc,8526c569f5f1482e5d700a4aae8a0ea4
10.0625,15.0625,-49.9375,-44.9375,2020-10-22,asc,55ac3b9c0a288a9f5dbec85b4c60bf80
10.0625,15.0625,-49.9375,-44.9375,2020-11-03,asc,b67cd01b27767e7bc0fda4a9953c6491
10.0625,15.0625,-49.9375,-44.9375,2020-11-10,asc,67633061697ca02069ce8e54bee25b52
10.0625,15.0625,-49.9375,-44.9375,2020-11-12,asc,2e4386180fa2d8451166df59cc49d652
10.0625,15.0625,-49.9375,-44.9375,2020-11-17,asc,1e6f79a66bd61fd1f3b7463bf48067ad
10.0625,15.0625,-49.9375,-44.9375,2020-11-20,asc,bd620d0c58068b7c0a9047da82bc5a09
10.0625,15.0625,-49.9375,-44.9375,2020-12-02,asc,943949fc2c4768a9a30b728aa2177b30
10.0625,15.0625,-49.9375,-44.9375,2020-12-09,asc,399d62dce8c2e27ad96536feda29dd65
10.0625,15.0625,-49.9375,-44.9375,2020-12-11,asc,054238cc11ca25d086fed42df1afd0c9
10.0625,15.0625,-49.9375,-44.9375,2020-12-16,asc,26fc0d4389587aa94e81b3e47b1832e4
10.0625,15.0625,-49.9375,-44.9375,2020-12-19,asc,2881b400f0995182c07518b7bc0e4403
10.0625,15.0625,-49.9375,-44.9375,2020-12-31,asc,76db90fd51353ef27bc1be739fffa9ac
